experiment,K,C,scenario,routing_mode,num_routes,policy,n_drones,mean_h1,mean_h2,mean_risk,peak_h1,peak_h2,peak_risk,frames_per_drone,channel_util
capacity_15min_sw_nsw_assimetrico,4,2,2r_static,static,2,mw-pe,6,2.125,285.63,243.20406666666668,9,489,260.4763,9.833333333333334,0.8040460134867117
capacity_15min_sw_nsw_assimetrico,4,2,2r_static,static,2,pf-classic,6,1.2433333333333334,178.24333333333334,163.77393333333333,7,271,178.9524,16.666666666666668,0.8056413913319072
capacity_15min_sw_nsw_assimetrico,4,2,2r_static,static,2,pf-classic-sw,2,1.9249999999999998,365.88,323.0272,11,548,323.1745,42,0.8078723607528423
capacity_15min_sw_nsw_assimetrico,4,2,2r_static,static,2,round-robin,6,1.245,178.24166666666667,163.72238333333334,7,271,178.9501,16.666666666666668,0.8057998573805563
capacity_15min_sw_nsw_assimetrico,4,2,2r_static,static,2,round-robin-sw,2,1.9849999999999999,366.7,323.6088,12,547,323.7912,42,0.8039813315553862
capacity_15min_sw_nsw_assimetrico,4,4,2r_static,static,2,aoi-normalized,14,26.103571428571428,267.87142857142857,547.1903214285715,137,658,1569.7831,10.214285714285714,0.8024853561066404
capacity_15min_sw_nsw_assimetrico,4,4,2r_static,static,2,aoi-sw,6,2.3600000000000003,286.39166666666665,253.75188333333332,9,497,255.3433,53.333333333333336,0.8017523828435266
capacity_15min_sw_nsw_assimetrico,4,4,2r_static,static,2,max-weight-drift,14,28.31642857142857,271.0914285714286,572.3859571428571,133,723,1866.6899,10.357142857142858,0.8022314005256664
capacity_15min_sw_nsw_assimetrico,4,4,2r_static,static,2,max-weight-sw,6,2.836666666666667,255.99833333333333,226.72273333333334,10,484,228.6764,59.833333333333336,0.8012451155705675
capacity_15min_sw_nsw_assimetrico,4,4,2r_static,static,2,mw-pe,14,2.130714285714286,286.8014285714286,244.6326,9,491,266.5801,9.571428571428571,0.8013535031847133
capacity_15min_sw_nsw_assimetrico,4,4,2r_static,static,2,pf-classic,14,27.417857142857144,315,677.3349857142857,206,578,1657.7199,9.214285714285714,0.8025050457081799
capacity_15min_sw_nsw_assimetrico,4,4,2r_static,static,2,pf-classic-sw,6,1.9233333333333333,367.9866666666667,325.11938333333336,12,536,326.5369,41.5,0.8014360147413903
capacity_15min_sw_nsw_assimetrico,4,4,2r_static,static,2,round-robin,14,26.479285714285716,306.1857142857143,674.2628071428571,144,512,1765.0795,9.214285714285714,0.8028612133444141
capacity_15min_sw_nsw_assimetrico,4,4,2r_static,static,2,round-robin-sw,6,1.7,592.1,511.3666333333333,14,1051,596.3546,27.5,0.7996952090675302
capacity_15min_sw_nsw_assimetrico,4,8,2r_static,static,2,aoi-normalized,30,43.565666666666665,415.50933333333336,996.0145333333334,244,917,2271.5301,5.533333333333333,0.8023752087585823
capacity_15min_sw_nsw_assimetrico,4,8,2r_static,static,2,aoi-sw,12,3.401666666666667,433.315,392.08616666666666,15,886,457.8,35.583333333333336,0.8000669917004727
capacity_15min_sw_nsw_assimetrico,4,8,2r_static,static,2,max-weight-drift,30,44.56733333333333,415.3063333333333,1010.5488933333334,237,1042,2873.6283,5.833333333333333,0.8012831937266085
capacity_15min_sw_nsw_assimetrico,4,8,2r_static,static,2,max-weight-sw,12,3.533333333333333,444.0825,377.7916583333333,12,1621,444.7564,37.583333333333336,0.8000493922983295
capacity_15min_sw_nsw_assimetrico,4,8,2r_static,static,2,mw-pe,30,3.396,490.6693333333333,353.68669,12,1012,401.8715,5.266666666666667,0.803094431903687
capacity_15min_sw_nsw_assimetrico,4,8,2r_static,static,2,pf-classic,30,125.521,545.885,6374.576456666667,1318,1827,28818.4897,4.933333333333334,0.8026593499366822
capacity_15min_sw_nsw_assimetrico,4,8,2r_static,static,2,pf-classic-sw,12,2.6525,588.1133333333333,509.66114166666665,12,1036,599.1052,27.416666666666668,0.7999476178004238
capacity_15min_sw_nsw_assimetrico,4,8,2r_static,static,2,round-robin,30,113.694,550.6173333333334,3959.427526666667,470,1085,14458.3412,4.966666666666667,0.8029231743351625
capacity_15min_sw_nsw_assimetrico,4,8,2r_static,static,2,round-robin-sw,12,2.1825,1215.3825,957.4698916666666,19,3128,1220.4828,15.166666666666666,0.7975953600609627
capacity_15min_sw_nsw_assimetrico,4,16,2r_static,static,2,aoi-normalized,62,53.485,589.3033870967741,1478.8187951612904,255,1457,4319.888,2.7580645161290325,0.8013136288998358
capacity_15min_sw_nsw_assimetrico,4,16,2r_static,static,2,aoi-sw,24,6.035833333333334,724.7516666666667,688.1668625,22,1652,817.0622,19.875,0.8003771150697166
capacity_15min_sw_nsw_assimetrico,4,16,2r_static,static,2,max-weight-drift,62,55.1791935483871,576.0259677419355,1557.7591661290323,260,1354,5572.3328,2.870967741935484,0.8008159449237177
capacity_15min_sw_nsw_assimetrico,4,16,2r_static,static,2,max-weight-sw,24,4.119166666666667,1147.2329166666666,895.1386083333333,14,3922,1109.9373,15.666666666666666,0.8005627414748866
capacity_15min_sw_nsw_assimetrico,4,16,2r_static,static,2,mw-pe,62,5.545806451612903,871.215,489.2998177419355,16,2027,569.4988,2.403225806451613,0.8033584358482623
capacity_15min_sw_nsw_assimetrico,4,16,2r_static,static,2,pf-classic,62,458.2901612903226,843.4633870967742,29637.499251612902,1846,2107,67504.3896,2.532258064516129,0.8030590822753174
capacity_15min_sw_nsw_assimetrico,4,16,2r_static,static,2,pf-classic-sw,24,4.492916666666667,1111.5533333333333,912.4148625,17,2050,1099.3655,15.333333333333334,0.7988715846417176
capacity_15min_sw_nsw_assimetrico,4,16,2r_static,static,2,round-robin,62,299.75467741935483,890.1070967741936,13839.565872580646,913,2006,35119.8106,2.5161290322580645,0.8029591122663201
capacity_15min_sw_nsw_assimetrico,4,16,2r_static,static,2,round-robin-sw,24,3.6579166666666665,2178.054166666667,1517.131975,42,4866,1861.6788,7.791666666666667,0.8000320847036175
capacity_15min_sw_nsw_assimetrico,4,32,2r_static,static,2,aoi-normalized,126,48.17,1001.5425396825397,1342.6481357142857,255,2108,2854.7996,0.873015873015873,0.8029643353404354
capacity_15min_sw_nsw_assimetrico,4,32,2r_static,static,2,aoi-sw,50,11.3556,1249.896,1167.450926,33,2973,1351.3498,10.26,0.7995692307692308
capacity_15min_sw_nsw_assimetrico,4,32,2r_static,static,2,max-weight-drift,126,17.920873015873017,1021.0326984126984,795.9189301587302,137,2108,2610.1523,0.4523809523809524,0.8016880680998413
capacity_15min_sw_nsw_assimetrico,4,32,2r_static,static,2,max-weight-sw,50,5.054,4157.6026,2172.289068,17,10500,2527.9973,3.34,0.8023502385580491
capacity_15min_sw_nsw_assimetrico,4,32,2r_static,static,2,mw-pe,126,7.2178571428571425,1038.706746031746,548.0328412698412,20,2108,612.7684,0.25396825396825395,0.8057522446893934
capacity_15min_sw_nsw_assimetrico,4,32,2r_static,static,2,pf-classic,126,777.9042063492063,992.2780952380953,55267.22979444444,2099,2108,89134.6324,1.253968253968254,0.8030096425440733
